"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,동대문구,"301,196",…,"269,698",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"290,096",…,"258,598",…,"31,498",…
1994,동대문구,"302,534",…,"271,036",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"291,434",…,"259,936",…,"31,498",…
1995,동대문구,"303,179",…,"271,681",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"292,079",…,"260,581",…,"31,498",…
1996,동대문구,"304,951",…,"273,453",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"293,851",…,"262,353",…,"31,498",…
1997,동대문구,"306,185",0,"274,687",0,"31,498",0,0,0,"11,100",0,"11,100",0,0,0,"295,085",0,"263,587",0,"31,498",0
1998,동대문구,"308,735",0,"277,237",0,"31,498",0,0,0,"11,100",0,"11,100",0,0,0,"297,635",0,"266,137",0,"31,498",0
1999,동대문구,"313,139",0,"281,641",0,"31,498",0,0,0,"39,530",0,"39,530",0,0,0,"273,609",0,"242,111",0,"31,498",0
2000,동대문구,"316,865","2,972,024","285,367","2,783,949","31,498","188,075",0,0,"11,100","350,430","11,100","350,430",0,0,"305,765","2,621,594","274,267","2,433,519","31,498","188,075"
2001,동대문구,"318,842","2,992,118","318,842","2,992,118",0,0,0,0,"11,100","350,430","11,100","350,430",0,0,"307,742","2,641,688","307,742","2,641,688",0,0
2002,동대문구,"319,537","2,997,985","319,537","2,997,985",0,0,0,0,"11,100","350,430","11,100","350,430",0,0,"308,437","2,647,555","308,437","2,647,555",0,0
2003,동대문구,"320,749","3,009,911","320,749","3,009,911",0,0,0,0,"11,100","350,430","11,100","350,430",0,0,"309,649","2,659,481","309,649","2,659,481",0,0
2004,동대문구,"321,562","3,014,523","321,562","3,014,523",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"310,462","2,664,093","310,462","2,664,093",-,-
2005,동대문구,"323,045","3,028,725","323,045","3,028,725",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"311,945","2,678,295","311,945","2,678,295",-,-
2006,동대문구,"323,327","3,031,805","323,327","3,031,805",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"312,227","2,681,375","312,227","2,681,375",-,-
2007,동대문구,"323,647","3,038,855","324,452","3,038,855",…,…,-,-,"11,100","350,430","11,100","350,430",-,-,"312,547","2,688,425","313,352","2,688,425",…,…
2008,동대문구,"324,119","3,044,679","324,119","3,044,679",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"313,019","2,694,249","313,019","2,694,249",-,-
2009,동대문구,"324,211","3,050,545","324,211","3,050,545",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"313,111","2,700,115","313,111","2,700,115",-,-
2010,동대문구,"324,496","3,056,499","324,496","3,056,499",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"313,396","2,706,069","313,396","2,706,069",-,-
2011,동대문구,"325,732","3,094,659","325,732","3,094,659",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"314,632","2,744,229","314,632","2,744,229",-,-
2012,동대문구,"325,732","3,095,075","325,732","3,095,075",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"314,632","2,744,645","314,632","2,744,645",-,-
2013,동대문구,"326,332","3,108,379","326,332","3,108,379",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"315,232","2,757,949","315,232","2,757,949",-,-
2014,동대문구,"327,325","3,138,144","327,325","3,138,144",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"316,225","2,787,714","316,225","2,787,714",-,-
2015,동대문구,"327,325","3,138,577","327,325","3,138,577",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"316,225","2,788,147","316,225","2,788,147",-,-
2016,동대문구,"327,382","3,138,965","327,382","3,138,965",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"316,282","2,788,535","316,282","2,788,535",-,-
2017,동대문구,"327,382","3,138,965","327,382","3,138,965",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"316,282","2,788,535","316,282","2,788,535",-,-
2018,동대문구,"327,382","3,144,310","327,382","3,144,310",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"316,282","2,793,880","316,282","2,793,880",-,-
2019,동대문구,"327,668","3,151,074","327,668","3,151,074",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"316,568","2,800,644","316,568","2,800,644",-,-
