"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1998,서울시,"7,801,225",0,"6,831,048",0,"970,177",0,"23,080",0,"168,880",0,"168,880",0,0,0,"7,609,265",0,"6,639,088",0,"970,177",0
1998,종로구,"260,333",0,"254,376",0,"5,957",0,0,0,"7,450",0,"7,450",0,0,0,"252,883",0,"246,926",0,"5,957",0
1998,중구,"102,233",0,"102,233",0,0,0,0,0,"8,060",0,"8,060",0,0,0,"94,173",0,"94,173",0,0,0
1998,용산구,"274,138",0,"274,138",0,0,0,0,0,"4,700",0,"4,700",0,0,0,"269,438",0,"269,438",0,0,0
1998,성동구,"394,661",0,"348,031",0,"46,630",0,0,0,"5,980",0,"5,980",0,0,0,"388,681",0,"342,051",0,"46,630",0
1998,광진구,"316,623",0,"293,551",0,"23,072",0,0,0,"10,320",0,"10,320",0,0,0,"306,303",0,"283,231",0,"23,072",0
1998,동대문구,"308,735",0,"277,237",0,"31,498",0,0,0,"11,100",0,"11,100",0,0,0,"297,635",0,"266,137",0,"31,498",0
1998,중랑구,"308,138",0,"241,186",0,"66,952",0,0,0,"11,200",0,"11,200",0,0,0,"296,938",0,"229,986",0,"66,952",0
1998,성북구,"600,903",0,"470,744",0,"130,159",0,0,0,"2,350",0,"2,350",0,0,0,"598,553",0,"468,394",0,"130,159",0
1998,강북구,"214,070",0,"212,235",0,"1,835",0,0,0,"3,300",0,"3,300",0,0,0,"210,770",0,"208,935",0,"1,835",0
1998,도봉구,"247,193",0,"244,904",0,"2,289",0,0,0,"5,900",0,"5,900",0,0,0,"241,293",0,"239,004",0,"2,289",0
1998,노원구,"273,599",0,"198,238",0,"75,361",0,0,0,0,0,0,0,0,0,"273,599",0,"198,238",0,"75,361",0
1998,은평구,"325,422",0,"249,543",0,"75,879",0,0,0,"6,300",0,"6,300",0,0,0,"319,122",0,"243,243",0,"75,879",0
1998,서대문구,"294,145",0,"259,631",0,"34,514",0,0,0,"10,450",0,"10,450",0,0,0,"283,695",0,"249,181",0,"34,514",0
1998,마포구,"391,013",0,"387,076",0,"3,937",0,0,0,"11,750",0,"11,750",0,0,0,"379,263",0,"375,326",0,"3,937",0
1998,양천구,"391,073",0,"300,169",0,"90,904",0,500,0,0,0,0,0,0,0,"390,573",0,"299,669",0,"90,904",0
1998,강서구,"357,357",0,"295,948",0,"61,409",0,0,0,"15,050",0,"15,050",0,0,0,"342,307",0,"280,898",0,"61,409",0
1998,구로구,"265,850",0,"180,158",0,"85,692",0,0,0,"6,290",0,"6,290",0,0,0,"259,560",0,"173,868",0,"85,692",0
1998,금천구,"173,741",0,"144,365",0,"29,376",0,0,0,"6,130",0,"6,130",0,0,0,"167,611",0,"138,235",0,"29,376",0
1998,영등포구,"381,084",0,"343,546",0,"37,538",0,0,0,"12,150",0,"12,150",0,0,0,"368,934",0,"331,396",0,"37,538",0
1998,동작구,"221,125",0,"167,895",0,"53,230",0,0,0,"2,900",0,"2,900",0,0,0,"218,225",0,"164,995",0,"53,230",0
1998,관악구,"307,777",0,"268,611",0,"39,166",0,0,0,"2,100",0,"2,100",0,0,0,"305,677",0,"266,511",0,"39,166",0
1998,서초구,"344,747",0,"339,607",0,"5,140",0,"16,360",0,"4,200",0,"4,200",0,0,0,"324,187",0,"319,047",0,"5,140",0
1998,강남구,"420,240",0,"354,151",0,"66,089",0,800,0,"7,900",0,"7,900",0,0,0,"411,540",0,"345,451",0,"66,089",0
1998,송파구,"351,405",0,"349,715",0,"1,690",0,"1,680",0,"6,150",0,"6,150",0,0,0,"343,575",0,"341,885",0,"1,690",0
1998,강동구,"275,620",0,"273,760",0,"1,860",0,"3,740",0,"7,150",0,"7,150",0,0,0,"264,730",0,"262,870",0,"1,860",0
