"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,합계,77,…,…,10,12,55
1993,종로구,31,…,…,2,1,28
1993,중구,8,…,…,2,2,4
1993,용산구,8,…,…,1,4,3
1993,성동구,4,…,…,2,-,2
1993,광진구,-,…,…,-,-,-
1993,동대문구,-,…,…,-,-,-
1993,중랑구,-,…,…,-,-,-
1993,성북구,3,…,…,-,-,3
1993,강북구,-,…,…,-,-,-
1993,도봉구,-,…,…,-,-,-
1993,노원구,1,…,…,-,-,1
1993,은평구,-,…,…,-,-,-
1993,서대문구,3,…,…,-,1,2
1993,마포구,4,…,…,-,-,4
1993,양천구,-,…,…,-,-,-
1993,강서구,-,…,…,-,-,-
1993,구로구,-,…,…,-,-,-
1993,금천구,-,…,…,-,-,-
1993,영등포구,-,…,…,-,-,-
1993,동작구,-,…,…,-,-,-
1993,관악구,-,…,…,-,-,-
1993,서초구,4,…,…,2,1,1
1993,강남구,4,…,…,-,1,3
1993,송파구,7,…,…,1,2,4
1993,강동구,-,…,…,-,-,-
1994,합계,77,…,…,10,12,55
1994,종로구,31,…,…,2,1,28
1994,중구,8,…,…,2,2,4
1994,용산구,8,…,…,1,4,3
1994,성동구,4,…,…,2,-,2
1994,광진구,-,…,…,-,-,-
1994,동대문구,-,…,…,-,-,-
1994,중랑구,-,…,…,-,-,-
1994,성북구,3,…,…,-,-,3
1994,강북구,-,…,…,-,-,-
1994,도봉구,-,…,…,-,-,-
1994,노원구,1,…,…,-,-,1
1994,은평구,-,…,…,-,-,-
1994,서대문구,3,…,…,-,1,2
1994,마포구,4,…,…,-,-,4
1994,양천구,-,…,…,-,-,-
1994,강서구,-,…,…,-,-,-
1994,구로구,-,…,…,-,-,-
1994,금천구,-,…,…,-,-,-
1994,영등포구,-,…,…,-,-,-
1994,동작구,-,…,…,-,-,-
1994,관악구,-,…,…,-,-,-
1994,서초구,4,…,…,2,1,1
1994,강남구,4,…,…,-,1,3
1994,송파구,7,…,…,1,2,4
1994,강동구,-,…,…,-,-,-
1995,합계,82,…,…,9,11,62
1995,종로구,34,…,…,1,2,31
1995,중구,8,…,…,2,2,4
1995,용산구,6,…,…,1,3,2
1995,성동구,4,…,…,1,1,2
1995,광진구,1,…,…,-,-,1
1995,동대문구,-,…,…,-,-,-
1995,중랑구,-,…,…,-,-,-
1995,성북구,-,…,…,-,-,-
1995,강북구,-,…,…,-,-,-
1995,도봉구,-,…,…,-,-,-
1995,노원구,1,…,…,-,-,1
1995,은평구,-,…,…,-,-,-
1995,서대문구,2,…,…,-,1,1
1995,마포구,3,…,…,-,-,3
1995,양천구,-,…,…,-,-,-
1995,강서구,-,…,…,-,-,-
1995,구로구,-,…,…,-,-,-
1995,금천구,-,…,…,-,-,-
1995,영등포구,-,…,…,-,-,-
1995,동작구,-,…,…,-,-,-
1995,관악구,1,…,…,1,-,-
1995,서초구,3,…,…,2,-,1
1995,강남구,5,…,…,-,-,5
1995,송파구,12,…,…,1,-,11
1995,강동구,2,…,…,-,2,-
1996,합계,86,…,…,9,15,62
1996,종로구,35,…,…,1,2,32
1996,중구,9,…,…,2,4,3
1996,용산구,6,…,…,1,3,2
1996,성동구,-,…,…,-,-,-
1996,광진구,5,…,…,1,1,3
1996,동대문구,-,…,…,-,-,-
1996,중랑구,-,…,…,-,-,-
1996,성북구,-,…,…,-,-,-
1996,강북구,-,…,…,-,-,-
1996,도봉구,-,…,…,-,-,-
1996,노원구,1,…,…,-,-,1
1996,은평구,-,…,…,-,-,-
1996,서대문구,3,…,…,-,2,1
1996,마포구,5,…,…,-,-,5
1996,양천구,-,…,…,-,-,-
1996,강서구,-,…,…,-,-,-
1996,구로구,-,…,…,-,-,-
1996,금천구,-,…,…,-,-,-
1996,영등포구,-,…,…,-,-,-
1996,동작구,-,…,…,-,-,-
1996,관악구,1,…,…,1,-,-
1996,서초구,4,…,…,2,-,2
1996,강남구,3,…,…,-,1,2
1996,송파구,14,…,…,1,2,11
1996,강동구,-,…,…,-,-,-
1997,합계,90,…,…,9,17,64
1997,종로구,37,…,…,1,2,34
1997,중구,10,…,…,2,5,3
1997,용산구,6,…,…,1,3,2
1997,성동구,-,…,…,-,-,-
1997,광진구,5,…,…,1,1,3
1997,동대문구,-,…,…,-,-,-
1997,중랑구,-,…,…,-,-,-
1997,성북구,-,…,…,-,-,-
1997,강북구,-,…,…,-,-,-
1997,도봉구,-,…,…,-,-,-
1997,노원구,1,…,…,-,-,1
1997,은평구,1,…,…,-,1,-
1997,서대문구,3,…,…,-,2,1
1997,마포구,5,…,…,-,-,5
1997,양천구,-,…,…,-,-,-
1997,강서구,1,…,…,-,-,1
1997,구로구,-,…,…,-,-,-
1997,금천구,-,…,…,-,-,-
1997,영등포구,-,…,…,-,-,-
1997,동작구,-,…,…,-,-,-
1997,관악구,1,…,…,1,-,-
1997,서초구,4,…,…,2,-,2
1997,강남구,3,…,…,-,1,2
1997,송파구,13,…,…,1,2,10
1997,강동구,-,…,…,-,-,-
1999,합계,87,…,…,9,17,61
1999,종로구,35,…,…,1,2,32
1999,중구,10,…,…,2,5,3
1999,용산구,6,…,…,1,3,2
1999,성동구,-,…,…,-,-,-
1999,광진구,4,…,…,1,1,2
1999,동대문구,-,…,…,-,-,-
1999,중랑구,1,…,…,-,-,1
1999,성북구,-,…,…,-,-,-
1999,강북구,-,…,…,-,-,-
1999,도봉구,-,…,…,-,-,-
1999,노원구,-,…,…,-,-,-
1999,은평구,1,…,…,-,1,-
1999,서대문구,3,…,…,-,2,1
1999,마포구,4,…,…,-,-,4
1999,양천구,-,…,…,-,-,-
1999,강서구,1,…,…,-,-,1
1999,구로구,-,…,…,-,-,-
1999,금천구,-,…,…,-,-,-
1999,영등포구,-,…,…,-,-,-
1999,동작구,-,…,…,-,-,-
1999,관악구,1,…,…,1,-,-
1999,서초구,4,…,…,2,-,2
1999,강남구,4,…,…,-,1,3
1999,송파구,13,…,…,1,2,10
1999,강동구,-,…,…,-,-,-
2000,합계,96,…,…,8,27,61
2000,종로구,36,…,…,1,3,32
2000,중구,10,…,…,1,6,3
2000,용산구,6,…,…,1,3,2
2000,성동구,-,…,…,-,-,-
2000,광진구,4,…,…,1,1,2
2000,동대문구,-,…,…,-,-,-
2000,중랑구,2,…,…,-,1,1
2000,성북구,-,…,…,-,-,-
2000,강북구,1,…,…,-,1,-
2000,도봉구,-,…,…,-,-,-
2000,노원구,1,…,…,-,1,-
2000,은평구,1,…,…,-,1,-
2000,서대문구,3,…,…,-,2,1
2000,마포구,6,…,…,-,2,4
2000,양천구,1,…,…,-,1,-
2000,강서구,1,…,…,-,-,1
2000,구로구,1,…,…,-,1,-
2000,금천구,-,…,…,-,-,-
2000,영등포구,-,…,…,-,-,-
2000,동작구,-,…,…,-,-,-
2000,관악구,1,…,…,1,-,-
2000,서초구,5,…,…,2,1,2
2000,강남구,6,…,…,1,2,3
2000,송파구,11,…,…,-,1,10
2000,강동구,-,…,…,-,-,-
2001,합계,106,…,…,10,36,60
2001,종로구,33,…,…,1,5,27
2001,중구,12,…,…,1,7,4
2001,용산구,3,…,…,-,3,-
2001,성동구,2,…,…,-,2,-
2001,광진구,7,…,…,3,1,3
2001,동대문구,-,…,…,-,-,-
2001,중랑구,1,…,…,-,1,-
2001,성북구,3,…,…,-,1,2
2001,강북구,-,…,…,-,-,-
2001,도봉구,1,…,…,-,1,-
2001,노원구,4,…,…,1,1,2
2001,은평구,1,…,…,-,1,-
2001,서대문구,6,…,…,-,2,4
2001,마포구,3,…,…,-,-,3
2001,양천구,3,…,…,-,1,2
2001,강서구,1,…,…,-,1,-
2001,구로구,1,…,…,-,1,-
2001,금천구,-,…,…,-,-,-
2001,영등포구,3,…,…,1,-,2
2001,동작구,1,…,…,-,1,-
2001,관악구,-,…,…,-,-,-
2001,서초구,4,…,…,2,2,-
2001,강남구,4,…,…,1,1,2
2001,송파구,12,…,…,-,3,9
2001,강동구,1,…,…,-,1,-
2002,합계,101,…,…,10,37,54
2002,종로구,35,…,…,1,7,27
2002,중구,15,…,…,1,9,5
2002,용산구,-,…,…,-,-,-
2002,성동구,-,…,…,-,-,-
2002,광진구,7,…,…,3,3,1
2002,동대문구,-,…,…,-,-,-
2002,중랑구,1,…,…,-,1,-
2002,성북구,3,…,…,-,-,3
2002,강북구,1,…,…,-,1,-
2002,도봉구,1,…,…,-,1,-
2002,노원구,4,…,…,1,-,3
2002,은평구,-,…,…,-,-,-
2002,서대문구,-,…,…,-,-,-
2002,마포구,5,…,…,-,1,4
2002,양천구,4,…,…,-,2,2
2002,강서구,-,…,…,-,-,-
2002,구로구,1,…,…,-,1,-
2002,금천구,-,…,…,-,-,-
2002,영등포구,3,…,…,1,1,1
2002,동작구,-,…,…,-,-,-
2002,관악구,1,…,…,-,1,-
2002,서초구,8,…,…,2,6,-
2002,강남구,11,…,…,1,3,7
2002,송파구,1,…,…,-,-,1
2002,강동구,-,…,…,-,-,-
2003,합계,109,…,…,10,42,57
2003,종로구,39,…,…,1,8,30
2003,중구,16,…,…,1,8,7
2003,용산구,-,…,…,-,-,-
2003,성동구,-,…,…,-,-,-
2003,광진구,8,…,…,3,5,-
2003,동대문구,-,…,…,-,-,-
2003,중랑구,1,…,…,-,1,-
2003,성북구,3,…,…,-,-,3
2003,강북구,1,…,…,-,1,-
2003,도봉구,-,…,…,-,-,-
2003,노원구,4,…,…,1,3,-
2003,은평구,1,…,…,-,1,-
2003,서대문구,-,…,…,-,-,-
2003,마포구,5,…,…,-,1,4
2003,양천구,3,…,…,-,3,-
2003,강서구,1,…,…,-,1,-
2003,구로구,2,…,…,-,2,-
2003,금천구,1,…,…,-,-,1
2003,영등포구,2,…,…,1,-,1
2003,동작구,-,…,…,-,-,-
2003,관악구,-,…,…,-,-,-
2003,서초구,7,…,…,2,5,-
2003,강남구,11,…,…,1,2,8
