"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,용산구,"265,622",…,"265,622",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"260,922",…,"260,922",…,-,…
1994,용산구,"266,084",…,"266,084",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"261,384",…,"261,384",…,-,…
1995,용산구,"271,186",…,"271,186",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"266,486",…,"266,486",…,-,…
1996,용산구,"271,466",…,"271,466",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"266,766",…,"266,766",…,-,…
1997,용산구,"272,934",0,"272,934",0,0,0,0,0,"4,700",0,"4,700",0,0,0,"268,234",0,"268,234",0,0,0
1998,용산구,"274,138",0,"274,138",0,0,0,0,0,"4,700",0,"4,700",0,0,0,"269,438",0,"269,438",0,0,0
1999,용산구,"275,163",0,"275,163",0,0,0,0,0,"56,050",0,"56,050",0,0,0,"219,113",0,"219,113",0,0,0
2000,용산구,"276,645","3,093,867","276,645","3,093,867",0,0,0,0,"4,700","258,994","4,700","258,994",0,0,"271,945","2,834,873","271,945","2,834,873",0,0
2001,용산구,"277,692","3,101,955","277,692","3,101,955",0,0,0,0,"4,700","258,994","4,700","258,994",0,0,"272,992","2,842,961","272,992","2,842,961",0,0
2002,용산구,"278,271","3,107,115","278,271","3,107,115",0,0,0,0,"4,700","258,994","4,700","258,994",0,0,"273,571","2,848,121","273,571","2,848,121",0,0
2003,용산구,"278,271","3,108,683","278,271","3,108,683",0,0,0,0,"4,700","258,994","4,700","258,994",0,0,"273,571","2,849,689","273,571","2,849,689",0,0
2004,용산구,"278,501","3,115,303","278,501","3,115,303",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"273,801","2,856,309","273,801","2,856,309",-,-
2005,용산구,"278,685","3,116,407","278,685","3,116,407",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"273,985","2,857,413","273,985","2,857,413",-,-
2006,용산구,"278,725","3,118,944","278,725","3,118,944",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"274,025","2,859,950","274,025","2,859,950",-,-
2007,용산구,"279,175","3,126,264","279,175","3,126,264",…,…,-,-,"4,700","258,994","4,700","258,994",-,-,"274,475","2,867,270","274,475","2,867,270",…,…
2008,용산구,"279,175","3,127,384","279,175","3,127,384",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"274,475","2,868,390","274,475","2,868,390",-,-
2009,용산구,"279,225","3,128,309","279,225","3,128,309",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"274,525","2,869,315","274,525","2,869,315",-,-
2010,용산구,"279,874","3,133,212","279,874","3,133,212",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,174","2,874,218","275,174","2,874,218",-,-
2011,용산구,"280,235","3,137,148","280,235","3,137,148",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,535","2,878,154","275,535","2,878,154",-,-
2012,용산구,"280,255","3,137,368","280,255","3,137,368",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,555","2,878,374","275,555","2,878,374",-,-
2013,용산구,"280,306","3,140,518","280,306","3,140,518",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,606","2,881,524","275,606","2,881,524",-,-
2014,용산구,"280,306","3,140,518","280,306","3,140,518",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,606","2,881,524","275,606","2,881,524",-,-
2015,용산구,"280,461","3,144,006","280,461","3,144,006",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,761","2,885,012","275,761","2,885,012",-,-
2016,용산구,"280,461","3,136,456","280,461","3,136,456",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,761","2,877,462","275,761","2,877,462",-,-
2017,용산구,"280,679","3,150,277","280,679","3,150,277",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,979","2,891,283","275,979","2,891,283",-,-
2018,용산구,"280,679","3,150,277","280,679","3,150,277",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"275,979","2,891,283","275,979","2,891,283",-,-
2019,용산구,"281,073","3,154,983","281,073","3,154,983",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"276,373","2,895,989","276,373","2,895,989",-,-
